stack size, dependencies per child, preview duration
500, 0, 2.33
500, 500, 2.38
500, 1000, 2.46
500, 1500, 2.54
500, 2000, 2.58
500, 2500, 2.57
500, 3000, 2.61
1000, 0, 4.33
1000, 500, 4.34
1000, 1000, 4.38
1000, 1500, 4.37
1000, 2000, 4.42
1000, 2500, 4.41
1000, 3000, 4.42
1500, 0, 6.17
1500, 500, 6.13
1500, 1000, 6.17
1500, 1500, 6.12
1500, 2000, 6.25
1500, 2500, 6.23
1500, 3000, 6.42
2000, 0, 7.98
2000, 500, 7.85
2000, 1000, 8.10
2000, 1500, 8.09
2000, 2000, 8.07
2000, 2500, 8.12
2000, 3000, 8.12
2500, 0, 9.68
2500, 500, 9.70
2500, 1000, 9.68
2500, 1500, 10.05
2500, 2000, 9.87
2500, 2500, 10.02
2500, 3000, 10.06
3000, 0, 11.76
3000, 500, 11.60
3000, 1000, 11.72
3000, 1500, 12.05
3000, 2000, 11.52
3000, 2500, 11.74
3000, 3000, 12.08
parenting enabled here
500, 0, 2.37
500, 500, 2.41
500, 1000, 2.54
500, 1500, 2.81
500, 2000, 2.64
500, 2500, 2.66
500, 3000, 2.65
1000, 0, 4.39
1000, 500, 4.47
1000, 1000, 4.43
1000, 1500, 4.44
1000, 2000, 4.49
1000, 2500, 4.47
1000, 3000, 4.48
1500, 0, 6.24
1500, 500, 6.26
1500, 1000, 6.28
1500, 1500, 6.23
1500, 2000, 6.40
1500, 2500, 6.52
1500, 3000, 6.51
2000, 0, 8.04
2000, 500, 8.20
2000, 1000, 8.27
2000, 1500, 8.23
2000, 2000, 8.25
2000, 2500, 8.28
2000, 3000, 8.25
2500, 0, 10.09
2500, 500, 10.02
2500, 1000, 10.19
2500, 1500, 10.19
2500, 2000, 10.20
2500, 2500, 10.33
2500, 3000, 10.25
3000, 0, 12.11
3000, 500, 12.02
3000, 1000, 12.00
3000, 1500, 12.39
3000, 2000, 12.32
3000, 2500, 12.33
3000, 3000, 12.31
